Ticker,Name,RTG_SP_LT_LC_ISSUER_CREDIT,IsJunk,intexp,netinc,eps,ncfdebt,ncf,assets,cashneq,receivables,payables,liabilities,equity,debt,ebit,ebitda,marketcap,ev,roe,roa,fcf,roic,gp,opinc,grossmargin,netmargin,evebitda,evebit,de,divyield,fcfps
VRSK,Verisk Analytics Inc,BBB,0,126800000,449900000,2.75,443400000,45400000,7055200000.0,184600000.0,441600000.0,375000000.0,4794400000.0,2260800000.0,3399700000.0,695200000,1018900000,24472320562.0,27105520562.0,0.207,0.069,739500000,0.204,1630300000,696900000,0.625,0.173,26.603,39.0,2.121,0.007,4.522
PFG,Principal Financial Group Inc,A-,0,0,1394200000,5.0,530200000,-461600000,276087800000.0,2515900000.0,1740300000.0,0.0,261137100000.0,14618000000.0,3827500000.0,1643400000,1870200000,15271956370.0,15933956370.0,0.099,0.005,5360800000,0.006,6197200000,1693300000,0.382,0.086,8.52,10.0,17.864,0.04,19.306
AXP,American Express Co,BBB+,0,0,6759000000,8.0,2172000000,-3362000000,198321000000.0,23932000000.0,56794000000.0,12738000000.0,175250000000.0,23071000000.0,64277000000.0,8429000000,9617000000,101866534133.0,138892534133.0,0.296,0.034,11987000000,0.036,39983000000,8429000000,1.0,0.169,14.442,16.0,7.596,0.013,14.477
VZ,Verizon Communications Inc,BBB+,0,4730000000,19265000000,4.66,-5231000000,1000000,291727000000.0,2594000000.0,25429000000.0,21806000000.0,228892000000.0,61395000000.0,133143000000.0,26940000000,43622000000,253937150433.0,381689150433.0,0.331,0.067,17807000000,0.109,77142000000,30378000000,0.585,0.146,8.75,14.0,3.728,0.039,4.303
BA,Boeing Co/The,BBB-,0,722000000,-636000000,-1.12,13218000000,1758000000,133625000000.0,9485000000.0,14607000000.0,15553000000.0,141925000000.0,-8617000000.0,27302000000.0,-1537000000,734000000,183334872062.0,198223872062.0,0.142,-0.005,-3946000000,-0.04,4466000000,-2666000000,0.058,-0.008,270.06,-129.0,-16.47,0.025,-7.011
RCL,Royal Caribbean Cruises Ltd,B+,1,408513000,1878887000,8.97,42401000,-44114000,30320284000.0,243738000.0,305821000.0,563706000.0,17586457000.0,12163846000.0,11733493000.0,2287400000,3533342000,27987857240.0,39109228240.0,0.16,0.063,691703000,0.072,4887896000,2082701000,0.446,0.172,11.069,17.0,1.446,0.022,3.3
CAT,Caterpillar Inc,A,0,421000000,6093000000,10.85,1406000000,402000000,78453000000.0,8284000000.0,31748000000.0,5957000000.0,63824000000.0,14629000000.0,37657000000.0,8260000000,10837000000,81616590592.0,111616590592.0,0.406,0.078,5396000000,0.114,16416000000,8290000000,0.305,0.113,10.3,14.0,4.363,0.026,9.608
JPM,JPMorgan Chase & Co,A-,0,0,34642000000,10.75,-35739000000,-15162000000,2687379000000.0,263631000000.0,72861000000.0,210407000000.0,2426049000000.0,261330000000.0,516093000000.0,42756000000,51124000000,437225998406.0,773759998406.0,0.132,0.013,6046000000,0.014,115627000000,50130000000,1.0,0.3,15.135,18.0,9.283,0.024,1.877
CVX,Chevron Corp,AA,0,798000000,2924000000,1.55,-7846000000,-3570000000,237428000000.0,5686000000.0,14836000000.0,14103000000.0,92220000000.0,144213000000.0,26973000000.0,6413000000,35631000000,227869007376.0,249023007376.0,0.019,0.012,16149000000,0.027,40882000000,6334000000,0.279,0.02,6.989,39.0,0.639,0.039,8.541
EME,EMCOR Group Inc,BBB-,0,13821000,325140000,5.78,5231000,-6294000,4830358000.0,358818000.0,2030813000.0,665402000.0,2772578000.0,2057134000.0,570325000.0,464710000,556797000,4846014688.0,4989108688.0,0.168,0.072,312755000,0.325,1355868000,460892000,0.148,0.035,8.96,11.0,1.348,0.004,5.57
